MAL_ID,Name,MAL Score,English name,Type,Episodes,Studios,Source,Duration,Rating,Year,Stats Score,Action,Comedy,Drama,Fantasy,Historical,Horror,Kids,Magic,Music,Parody,Romance,School,Sci-Fi,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life
10742,Saru to Kani no Gassen,5.12,Unknown,Movie,1,Unknown,Other,6,G - All Ages,1917,4.58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10757,Kachikachi Yama,5.68,Unknown,Movie,1,Unknown,Other,7,G - All Ages,1917,5.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17387,Imokawa Mukuzo: Genkanban no Maki,5.38,Unknown,Movie,1,Unknown,Original,5,G - All Ages,1917,5.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18457,Hanasaka Jijii,5.05,Unknown,Movie,1,Unknown,Other,6,G - All Ages,1917,4.84,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23189,Dekobou Shingachou: Meian no Shippai,5.64,Unknown,Movie,1,Unknown,Original,5,G - All Ages,1917,6.29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24577,Imokawa Mukuzo: Chuugaeri no Maki,0,Unknown,Movie,1,Unknown,Original,5,G - All Ages,1917,5.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7494,Usagi to Kame,5.36,Unknown,Movie,1,Unknown,Other,9,G - All Ages,1924,5.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28689,Noroma na Jiji,0,An Old Fool,Movie,1,Unknown,Original,5,G - All Ages,1924,5.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7495,Nonki na Tou-san Ryuuguu Mairi,0,Unknown,Movie,1,Unknown,Other,5,G - All Ages,1925,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27573,Ubasuteyama,5.48,Unknown,Movie,1,Unknown,Original,18,G - All Ages,1925,5.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
