Titulo_cancion,Album,Fecha_presentacion,Lugar_presentacion,Latitud_presentacion,Longitud_presentacion
Tim McGraw,Taylor Swift,03-17,State Farm Stadium Glendale AZ USA,-112.26256565900226,33.527876978609626
Picture To Burn,Taylor Swift,07-14,Empower Field at Mile High Denver CO USA,-105.02005450000006,39.74383687816774
Teardrops On My Guitar,Taylor Swift,05-05,Nissan Stadium Nashville TN USA,-86.77118825396796,36.16658318496833
A Place In This World,Taylor Swift,04-22,NGR Stadium Houston TX USA,-95.40592071527006,29.681241296536044
Cold As You,Taylor Swift,04-23,NGR Stadium Houston TX USA,-95.40592071527006,29.681241296536044
Tied Together With A Smile,Taylor Swift,07-23,Lumen Field Seattle WA USA,-122.32964978042607,47.739335607595535
Stay Beautiful,Taylor Swift,11-17,Olímpico Nilton Santos Rio de Janeiro Brasil,-43.292591136245846,-22.89324820934911
Should've Said No,Taylor Swift,05-19,Gillette Stadium Foxborough MA USA,-71.26434789814675,42.09107628759776
Our Song,Taylor Swift,03-24,Allegiant Stadium Las Vegas NV USA,-115.18341678465555,36.09354412130051
I'm Only Me When I'm With You,Taylor Swift,06-30,Paycor Stadium Cincinnati OH USA,-84.51624912162605,39.09553203477549
Invisible,Taylor Swift,05-20,Gillette Stadium Foxborough MA USA,-71.26434789814675,42.09107628759776
Fearless,Fearless TV,03-17,State Farm Stadium Glendale AZ USA,-112.26256565900226,33.527876978609626
Fifteen,Fearless TV,05-06,Nissan Stadium Nashville TN USA,-86.77118825396796,36.16658318496833
Love Story,Fearless TV,03-17,State Farm Stadium Glendale AZ USA,null,null
Hey Stephen,Fearless TV,05-14,Lincoln Financial Field Phuladelphia PA USA,-75.16735629629618,39.90086100056422
White Horse ,Fearless TV,03-25,Allegiant Stadium Las Vegas NV USA,-115.18341678465555,36.09354412130051
You Belong With Me,Fearless TV,03-17,State Farm Stadium Glendale AZ USA,-112.26256565900226,33.527876978609626
Breath (feat. Colbie Caillat),Fearless TV,06-10,Ford Field Detroit MI USA,-83.04544406745778,42.3399749651698
Tell Me Why,Fearless TV,08-25,Foro Sol Ciudad de Mexico México,-99.09575394047495,19.40503927590352
You're Not Sorry,Fearless TV,04-21,NGR Stadium Houston TX USA,-95.40592071527006,29.681241296536044
Forever & Always,Fearless TV,05-13,Lincoln Financial Field Phuladelphia PA USA,-75.16735629629618,39.90086100056422
The Best Day,Fearless TV,05-14,Lincoln Financial Field Phuladelphia PA USA,-75.16735629629618,39.90086100056422
Jump Then Fall,Fearless TV,04-02,AT&T Stadium Arlington TX USA,-97.09265501719679,32.74788153537773
Untouchable,Fearless TV,11-25,Estadio Allianz Parque São Paulo Brasil,-46.678525415344126,-23.527590429244412
The Other Side Of The Door,Fearless TV,04-28,Mercedes-Benz Stadium Atlanta GA USA,-84.40076948280304,33.75534598096225
Today Was a Fairytale,Fearless TV,04-22,NGR Stadium Houston TX USA,-95.40592071527006,29.681241296536044
You All Over Me (feat. Maren Morris)(From the Vault),Fearless TV,06-03,Soldier Field Chicago IL USA,-87.61671972883586,41.8624806117686
Mr. Perfectly Fine (From the Vault),Fearless TV,06-16,Acrisure Stadium Pittsburgh PA USA,-80.01556896560628,40.44660677582141
If This Was A Movie (Taylor's Version),Fearless TV,06-23,U.S. Bank Stadium Minneapolis MN USA,-93.2576224232795,44.97372679495538
Mine,Speak Now TV,05-07,Nissan Stadium Nashville TN USA,-86.77118825396796,36.16658318496833
Sparks Fly,Speak Now TV,05-05,Nissan Stadium Nashville TN USA,-86.77118825396796,36.16658318496833
Back To December,Speak Now TV,07-15,Empower Field at Mile High Denver CO USA,-105.02005450000006,39.74383687816774
Speak Now,Speak Now TV,04-13,Raymond James Stadium Tampa FL USA,-82.50332254232848,27.97586566292746
Dear John,Speak Now TV,06-24,U.S. Bank Stadium Minneapolis MN USA,-93.2576224232795,44.97372679495538
Mean,Speak Now TV,04-15,Raymond James Stadium Tampa FL USA,-82.50332254232848,27.97586566292746
The Story Of Us,Speak Now TV,06-17,Acrisure Stadium Pittsburgh PA USA,-80.01556896560628,40.44660677582141
Never Grow Up ,Speak Now TV,07-07,Arrowhead Stadium Kansas City MO USA,-94.48381597969887,39.04883384549203
Enchanted ,Speak Now TV,03-17,State Farm Stadium Glendale AZ USA,-112.26256565900226,33.527876978609626
Better Than Revenge,Speak Now TV,11-12,Estadio River Plate Buenos Aires Argentina,-58.44976791067701,-34.545347102438214
Innocent,Speak Now TV,11-24,Estadio Allianz Parque São Paulo Brasil,-46.678525415344126,-23.527590429244412
Haunted,Speak Now TV,06-09,Ford Field Detroit MI USA,-83.04544406745778,42.3399749651698
Last Kiss,Speak Now TV,07-08,Arrowhead Stadium Kansas City MO USA,-94.48381597969887,39.04883384549203
Long Live,Speak Now TV,03-17,State Farm Stadium Glendale AZ USA,-112.26256565900226,33.527876978609626
Ours,Speak Now TV,03-31,AT&T Stadium Arlington TX USA,-97.09265501719679,32.74788153537773
When Emma Falls in Love (From the Vault),Speak Now TV,07-07,Arrowhead Stadium Kansas City MO USA,-94.48381597969887,39.04883384549203
I Can See You (From the Vault),Speak Now TV,08-03,SoFi Stadium Los Angeles CA USA,-118.3389436892382,33.953274872376625
Castles Crumbling (feat.Hayley Williams) (From the Vault),Speak Now TV,07-28,Levi's Stadium Santa Clara CA USA,-121.969823126984,37.40326521584193
Timeless (From the Vault),Speak Now TV,07-14,Empower Field at Mile High Denver CO USA,-105.02005450000006,39.74383687816774
State of Grace,Red TV,03-18,State Farm Stadium Glendale AZ USA,-112.26256565900226,33.527876978609626
Red,Red TV,05-21,Gillette Stadium Foxborough MA USA,-71.26434789814675,42.09107628759776
