ep_num,episode_japan_title,episode_english_title,air_date,arc,rating,votes,type,ep_duration,directors,writers,synopsis
1,Ore wa Luffy! Kaizoku Ou ni Naru Otoko Da!,I'm Luffy! The Man Who's Gonna Be King of the Pirates!,"Oct 20, 1999",Romance Dawn Arc,8.4,23000,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Junki Takegami, Eric Vale","Alvida pirates plunder a ship only to find a barrel containing a strange boy names Luffy who is on a quest to find the legendary ""One Piece"" and become the King of Pirates."
2,Daikengo Arawaru! Kaizokugari Roronoa Zoro,Enter the Great Swordsman! Pirate Hunter Roronoa Zoro!,"Nov 17, 1999",Romance Dawn Arc,8.2,8600,Manga Canon,24m,"Tetsuji Nakamura, Kônosuke Uda","Eiichirô Oda, Michiru Shimada, Eric Vale","Luffy and Koby arrive at Shell Island where they meet Roronoa Zoro, a bounty hunter held under arrest by Captain Morgan."
3,Morgan vs. Luffy! Nazo no Bishoujo wa Dare?,Morgan vs. Luffy! Who's the Mysterious Pretty Girl?,"Nov 24, 1999",Romance Dawn Arc,7.9,4400,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Michiru Shimada, Eric Vale","Luffy convinces Zoro to join his crew, but they must defeat Captain Morgan first. Meanwhile, Koby is accepted as a marine."
4,Luffy no Kako! Akagami no Shanks Toujou,Luffy's Past! Enter Red-Haired Shanks!,"Dec 8, 1999",Orange Town Arc,8.3,4100,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Eric Vale, Junki Takegami",Luffy reflects on his past and how he came in possession of his Straw Hat.
5,Kyoufu Nazo no Chikara! Kaizoku Douke Buggy-senchou!,"A Terrifying Mysterious Power! Captain Buggy, the Clown Pirate!","Dec 15, 1999",Orange Town Arc,7.4,2700,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Eric Vale, Junki Takegami",Nami tricks Luffy into allowing her to turn him over to Buggy as a battle ensues.
6,Zettai Zetsumei! Mojutsukai Moji VS Rufi!,Desperate Situation! Beast Tamer Mohji vs. Luffy!,"Dec 29, 1999",Orange Town Arc,7.6,2600,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Eric Vale, Junki Takegami",After Buggy's defeat Mohji and Richie seek revenge while Luffy meets a small dog guarding his master's store.
7,Sozetsu Ketto! Kengo Zoro VS Kyokugei no Kabaji!,Epic Showdown! Swordsman Zoro vs. Acrobat Cabaji!,"Dec 29, 1999",Orange Town Arc,7.6,2400,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Eric Vale, Junki Takegami",The city's mayor rushes to fight Buggy but the Straw Hat Pirates come to his aid. Zoro fights Cajabi while Luffy faces Buggy himself.
8,Shousha wa docchi? Akuma no mi no nouryoku taiketsu!,Who Is the Victor? Devil Fruit Power Showdown!,"Dec 29, 1999",Orange Town Arc,7.7,2300,Manga Canon,24m,Kônosuke Uda,"Eiichirô Oda, Eric Vale, Junki Takegami",Luffy becomes enrages when Buggy rips his straw hat as the battle continues.
9,Seigi no usotsuki? Kyaputen Usoppu,The Honorable Liar? Captain Usopp!,"Jan 12, 2000",Syrup Village Arc,7.1,2100,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Eric Vale, Junki Takegami",Nami forms an alliance with the Straw Hat Pirates as their navigator as the crew arrives at Syrup Village where they meet Usopp.
10,Chijou saikyou no hen na yatsu! Saiminjutsushi Jango,The Weirdest Guy Ever! Jango the Hypnotist!,"Jan 19, 2000",Syrup Village Arc,7.4,2000,Manga Canon,25m,Kônosuke Uda,"Eiichirô Oda, Eric Vale, Junki Takegami","Luffy and Usopp learn that Kaya's caretaker, Klahadore pairs up with a strange man plot as they plot to kill her."
