name,especie,era,country,diet,type,superorder,order,suborder,clade
aardonyx,celestae,Jurassic,South Africa,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
abelisaurus,comahuensis,Cretaceous,Argentina,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Ceratosauria
achelousaurus,horneri,Cretaceous,USA,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
achillobator,giganteus,Cretaceous,Mongolia,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
acrocanthosaurus,atokensis,Cretaceous,USA,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Carnosauria
aegyptosaurus,baharijensis,Cretaceous,Egypt,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
alamosaurus,sanjuanensis,Cretaceous,USA,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
albertaceratops,nesmoi,Cretaceous,USA,herbivorous,ceratopsian,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
albertosaurus,libratus,Cretaceous,Canada,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
alectrosaurus,olseni,Cretaceous,Mongolia,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
alioramus,remotus,Cretaceous,Mongolia,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
allosaurus,fragilis,Jurassic,USA,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Carnosauria
alvarezsaurus,calvoi,Cretaceous,Argentina,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
amargasaurus,cazaui,Cretaceous,Argentina,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
ammosaurus,major,Jurassic,USA,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
ampelosaurus,atacis,Cretaceous,France,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
amygdalodon,patagonicus,Jurassic,Argentina,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
anchiceratops,ornatus,Cretaceous,Canada,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
anchisaurus,polyzelous,Jurassic,USA,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
ankylosaurus,magniventris,Cretaceous,USA,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
anserimimus,planinychus,Cretaceous,Mongolia,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
antarctosaurus,wichmannianus,Cretaceous,Uruguay,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
apatosaurus,ajax,Jurassic,USA,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
aragosaurus,ischiadicus,Cretaceous,Spain,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
aralosaurus,tuberiferus,Cretaceous,Kazakhstan,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
archaeoceratops,oshimai,Cretaceous,China,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
archaeopteryx,lithographica,Jurassic,Germany,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
archaeornithomimus,asiaticus,Cretaceous,Uzbekistan,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
argentinosaurus,huinculensis,Cretaceous,Argentina,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
arrhinoceratops,brachyops,Cretaceous,Canada,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
aucasaurus,garridoi,Cretaceous,Argentina,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Ceratosauria
austrosaurus,mckillopi,Cretaceous,Australia,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
avaceratops,lammersi,Cretaceous,USA,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
avimimus,portentosus,Cretaceous,Mongolia,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
bactrosaurus,johnsoni,Cretaceous,China,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
bagaceratops,rozhdestvenskyi,Cretaceous,Mongolia,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
bambiraptor,feinbergorum,Cretaceous,USA,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
